lon,lat
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.469718,-18.4839
-70.486468,-18.461675
-70.50439,-18.441142
-70.523713,-18.422642
-70.543936,-18.405403
-70.564746,-18.389225
-70.5871,-18.377152
-70.610754,-18.368586
-70.634228,-18.359328
-70.656274,-18.345954
-70.676668,-18.32894
-70.695579,-18.309615
-70.716226,-18.293885
-70.738869,-18.281995
-70.762177,-18.271206
-70.784931,-18.259119
-70.804791,-18.242021
-70.821336,-18.219533
-70.836949,-18.196108
-70.852671,-18.173014
-70.869108,-18.150373
-70.887183,-18.130017
-70.908076,-18.114292
-70.929689,-18.099746
-70.949161,-18.081499
-70.968443,-18.062441
-70.988919,-18.045299
-71.010707,-18.031373
-71.034082,-18.022179
-71.057567,-18.013484
-71.081226,-18.004954
-71.107179,-18.002376
-71.132105,-17.999145
-71.150752,-17.98479
-71.162979,-17.958292
-71.175527,-17.930889
-71.190933,-17.907281
-71.20575,-17.883651
-71.218119,-17.857775
-71.23544,-17.836852
-71.256409,-17.819956
-71.278412,-17.805062
-71.299808,-17.790258
-71.319661,-17.772831
-71.339366,-17.754553
-71.360448,-17.738034
-71.380404,-17.72034
-71.395952,-17.697557
-71.411168,-17.673912
-71.428363,-17.652195
-71.444116,-17.629213
-71.45658,-17.603236
-71.470999,-17.579082
-71.488461,-17.55774
-71.505845,-17.536309
-71.522205,-17.513871
-71.537471,-17.490291
-71.552963,-17.466931
-71.569873,-17.445069
-71.587806,-17.424412
-71.606615,-17.404992
-71.626543,-17.387388
-71.647839,-17.372271
-71.670665,-17.360483
-71.694574,-17.352316
-71.718825,-17.348333
-71.743063,-17.348922
-71.767686,-17.350631
-71.793297,-17.349563
-71.818594,-17.343078
-71.83991,-17.328692
-71.855685,-17.305533
-71.87354,-17.284018
-71.893868,-17.266551
-71.916926,-17.255664
-71.941261,-17.248696
-71.962655,-17.235375
-71.982238,-17.216134
-72.002997,-17.197947
-72.021146,-17.177788
-72.032107,-17.151932
-72.035515,-17.121697
-72.037584,-17.091722
-72.047391,-17.065467
-72.065049,-17.043603
-72.086261,-17.028119
-72.116403,-17.023347
-72.132499,-17.002835
-72.156125,-16.994313
-72.179707,-16.985582
-72.203082,-16.976197
-72.226197,-16.965975
-72.248981,-16.95468
-72.27152,-16.942605
-72.293842,-16.929898
-72.313964,-16.912957
-72.332337,-16.892642
-72.351438,-16.873506
-72.372511,-16.857898
-72.391591,-16.839044
-72.408999,-16.817574
-72.428957,-16.800935
-72.452017,-16.790285
-72.476628,-16.783275
-72.501769,-16.779083
-72.526528,-16.779134
-72.549806,-16.786998
-72.571418,-16.802626
-72.593032,-16.817719
-72.616459,-16.823172
-72.641622,-16.819119
-72.666022,-16.817424
-72.687502,-16.828502
-72.708345,-16.845872
-72.731897,-16.856205
-72.752767,-16.840315
-72.770118,-16.817932
-72.78777,-16.797258
-72.809427,-16.785327
-72.833784,-16.778631
-72.855708,-16.76538
-72.876022,-16.748371
-72.896558,-16.732035
-72.917551,-16.716255
-72.938683,-16.700345
-72.953012,-16.676478
-72.962188,-16.646824
-72.974835,-16.621589
-72.996075,-16.606609
-73.017689,-16.591667
-73.039645,-16.578358
-73.063139,-16.570226
-73.087759,-16.565715
-73.11139,-16.557775
