Order,Family,Genus,Genus_Species,T.st,English_common_name,Spanish_common_name,area,CTA
Anguilliformes,Ophichthidae,,,Ophichthidae,Snake eels,,,
Atheriniformes,Atherinopsidae,Odontesthes,Odontesthes regia,O.regia,Peruvian sylverside,,,
Aulopiformes,Paralepididae,,,Paralepididae,Barracudinas,,,
Aulopiformes,Synodontidae,Synodus,,Synodus,Lizardfish,,,
Batrachoidiformes,Batrachoididae,,,Batrachoididae,Toadfish,,,
Beloniformes,Belonidae,Belone,,Belone,Garfish,,,
Beloniformes,Exocoetidae,,,Exocoetidae,Flyingfish,,,
Beloniformes,Scomberesocidae,,,Scomberesocidae,Sauries,,,
Clupeiformes,Clupeidae,Ethmidium,Ethmidium maculatum,E.maculatum,Pacific menhaden,,,
Clupeiformes,Clupeidae,Opisthonema,,Opisthonema,Pacific thread herring,,,
Clupeiformes,Clupeidae,Sardinops,Sardinops sagax,S.sagax,Pacific sardine,,,
Clupeiformes,Engraulidae,Cetengraulis,Cetengraulis mysticetus,C.mysticetus,Pacific anchovy,,,
Clupeiformes,Engraulidae,Engraulis,Engraulis ringens,E.ringens,Peruvian anchovy,,,
Cupleiformes,Dussumieriidae,Etrumeus,Etrumeus sadina,E.sadina,Pacific round herring,sardina redonda,oceanic,CTA
Cupleiformes,Engraulidae,Anchoa,Anchoa nasus,A.nasus,Longnose anchovy,,,
Gadiformes,Bregmacerotidae,Bregmaceros,Bregmaceros bathymaster,B.bathymaster,East Pacific codlet,,,
Gadiformes,Merlucciidae,Merluccius,Merluccius gayi peruanus,M.gayi.peruanus,Peruvian hake,,,
Lophiiformes,Antennariidae,Fowlerichthys,Fowlerichthys avalonis,F.avalonis,roughbar frogfish,pez zanahoria,demersal,
Lophiiformes,Lophiidae,Lophiodes,Lophiodes caulinaris,L.caulinaris,spottedtail angler,bocon,demersal,
Mugiliformes,Mugilidae,Mugil,Mugil cephalus,M.cephalus,Flathead grey mullet,,,
Myctophiformes,Myctophidae,,,Myctophidae,myctophidae,,,
Osmeriformes,Bathylagidae,,,Bathylagidae,bathylagidae,,,
Perciformes,Blenniidae,,,Blenniidae,blenniidae,,,
Perciformes,Carangidae,,,Carangidae,carangidae,,,
Perciformes,Carangidae,Chloroscombrus,Chloroscombrus orqueta,C.orqueta,Pacific bumper,,,
Perciformes,Carangidae,Decapterus,Decapterus macrosoma,D.macrosoma,shortfin scad,,,
Perciformes,Carangidae,Neucrates,Neucrates ductor,N.ductor,pilotfish,,,
